local_result_pct_global,dw_result_nonglobal_conf,local_result_nonglobal_conf,local_result_scan_conf,chunky_result_scan_conf,chunky_result_fit_conf,D,chunky_result_avg_scans,ss_prob,local_result_step_conf,Kb,dw_result_norm_fit,chunky_result_step_conf,dw_result_fit_conf,dw_result_step_conf,local_result_avg_steps,threshold,chunky_result_nonglobal_fit,chunky_result_pct_global,chunky_result_avg_impr,dw_result_scan_conf,local_result_avg_impr,chunky_result_avg_steps,chunky_result_impr_conf,Kw,local_result_avg_scans,local_result_norm_fit,dw_result_impr_conf,local_result_impr_conf,dw_result_pct_global,local_result_fit_conf,chunky_result_nonglobal_conf,chunky_result_norm_fit,dw_result_avg_steps,P,dw_result_avg_impr,dw_result_nonglobal_fit,local_result_nonglobal_fit,dw_result_avg_scans
0.1898,0.00177296490153,0.00145955564737,0.148651085499,0.161605768999,0.00127466028483,3,51.9653,0.75,0.0406233007486,0.25,0.819153825475,0.0453071489349,0.00181730336249,0.0215233969817,4.7667,0,0.910086931457,0.2318,0.269261524495,0.0,0.257087943837,10.9861,0.00265007833993,0.75,12.6075,0.918755200087,0.0023477119017,0.00268584232659,0.0239,0.00141152937591,0.00134762308072,0.930928780745,1.8127,3,0.157486569224,0.814725771412,0.899722537753,4.0
0.1886,0.00171520046857,0.00148230137362,0.145190544592,0.163141041952,0.00126826482025,3,52.1384,0.75,0.0396955625559,0.25,0.842061798962,0.045187204844,0.00176692883714,0.0286673279331,4.7636,1,0.910723746363,0.2407,0.271009440241,0.0210100360382,0.256235218526,11.0186,0.00259633592698,0.75,12.5744,0.917438318898,0.00253847245533,0.0026193774631,0.0424,0.00143361373876,0.00134881817239,0.932212540613,2.2142,3,0.180858698589,0.835068712366,0.898247866525,5.304
0.1916,0.00151026747425,0.00147435130977,0.146177899587,0.160657921782,0.00126549681701,3,52.1326,0.75,0.0399552295875,0.25,0.886958902587,0.0453382835025,0.00154204965279,0.0346359842272,4.7658,2,0.9110994204,0.239,0.271289602813,0.0347305374058,0.256044583533,11.0418,0.00263040255039,0.75,12.5912,0.917101639645,0.00261253338683,0.00265024798596,0.092,0.00143047534007,0.00134604356823,0.932346658925,3.0843,3,0.225901846476,0.875505399325,0.897453784815,9.3479
0.1858,0.00137352698264,0.00144734230365,0.145668248764,0.161974439036,0.00125308872905,3,52.0741,0.75,0.039934855338,0.25,0.911163662951,0.0448259191734,0.00137518275794,0.0370152711932,4.7879,3,0.911708128149,0.2341,0.271399896624,0.0433430488933,0.257143434299,11.0299,0.00261476876217,0.75,12.6479,0.918120793024,0.00260520523861,0.00263113037758,0.1426,0.00140585147027,0.00132720646403,0.93237725535,3.592,3,0.250186304226,0.896388690169,0.899436002241,13.2069
0.1879,0.00130940751244,0.00145790074382,0.145596819111,0.164048033819,0.00125417951192,3,52.2062,0.75,0.0402020210135,0.25,0.925772217496,0.0451536529111,0.00127393394204,0.0385150012011,4.7529,4,0.911319729215,0.2362,0.271738881311,0.0434256988573,0.25691853559,11.0337,0.00262724466631,0.75,12.4849,0.917445663454,0.00261596887672,0.0026710832055,0.1932,0.00141687754977,0.00132739892937,0.932266009175,3.8707,3,0.265245089632,0.907997294863,0.898344616985,16.4936
0.1894,0.00128605114744,0.00144602144768,0.145546688638,0.163425637628,0.00125613757824,3,52.1759,0.75,0.040107440385,0.25,0.933221832401,0.0449192923694,0.00122119222776,0.0385326849302,4.7788,5,0.911609431078,0.2385,0.271410603696,0.0355376265961,0.256440795725,11.0297,0.00260296425362,0.75,12.5349,0.917720773795,0.00255899684389,0.00263032746029,0.2269,0.00140769228476,0.00133454210623,0.932690581766,4.0698,3,0.271941854331,0.91362285914,0.898495896613,19.154
0.1939,0.0012654510029,0.00145269693495,0.146317664711,0.164777260103,0.00126407966671,3,52.1886,0.75,0.0404195464907,0.25,0.93852365104,0.0455228461197,0.00117671386518,0.0399652703775,4.8071,6,0.910680512334,0.2439,0.272655966083,0.0249022666132,0.259165564306,11.0412,0.00264473763958,0.75,12.6221,0.918975133599,0.00258929322122,0.00265172226275,0.2496,0.00140639260186,0.00134402880956,0.932465535376,4.2467,3,0.278714081746,0.918075227931,0.899485341272,21.2944
0.1922,0.00124300799219,0.0014524291781,0.146402358561,0.161779597963,0.00125765576174,3,52.0706,0.75,0.0399906120868,0.25,0.940654395877,0.0449512122755,0.00114955101643,0.0394552453272,4.7291,7,0.911641020557,0.2386,0.268635518756,0.0143900991583,0.254424270082,11.0039,0.00260451146364,0.75,12.4214,0.918512224379,0.00255390496098,0.0026216572148,0.2601,0.00140837306186,0.00133733139691,0.932723473052,4.2672,3,0.27656644158,0.919792398807,0.899123823198,23.049
0.1944,0.00125529712102,0.00145674320959,0.147294290943,0.162592872813,0.00126419641716,3,52.1021,0.75,0.0399982322925,0.25,0.940882263378,0.0447400178952,0.00115598787993,0.0394715161732,4.7995,8,0.911279259758,0.2354,0.270447475419,0.0143884805118,0.257255588416,11.0179,0.00260016632332,0.75,12.6653,0.918972235009,0.00257044147589,0.00261861111313,0.27,0.00140920721395,0.00134268007113,0.932164122011,4.2854,3,0.279165616786,0.919016799148,0.899419358253,23.0665
0.0895,0.00155597814439,0.00121585168681,0.20572164795,0.271557091215,0.00119563552822,4,90.5013,0.75,0.0454479998842,0.25,0.785425605318,0.0591827533512,0.00156754447484,0.0213204984128,5.7045,0,0.899323355447,0.0851,0.260444604158,0.0,0.255732383163,14.8314,0.00231577719488,0.75,18.3467,0.903178716904,0.00202193920669,0.00234320960203,0.0028,0.00125679239789,0.00116002639746,0.907890937899,1.8406,3,0.137979271577,0.784823110026,0.893661413403,4.0
0.0809,0.00134330841232,0.00119936825743,0.202068360136,0.272375763082,0.00119196572919,4,90.346,0.75,0.0445899550232,0.25,0.848990029414,0.0592335460041,0.00138006136097,0.0344661379503,5.6591,2,0.899185989284,0.084,0.258998536035,0.0354691067358,0.253883266666,14.7705,0.00228936203583,0.75,18.0395,0.902539096816,0.00227437980382,0.00230571872073,0.0187,0.00123949557899,0.00115553232334,0.907654366184,3.1525,3,0.200334199264,0.846112329984,0.893960501377,9.3504
0.0894,0.00116006631208,0.00119620489038,0.205087790074,0.267598950658,0.00119356437587,4,90.5131,0.75,0.0448218239613,0.25,0.886034878323,0.0583812062435,0.00120777406505,0.039711491338,5.6719,4,0.899210020931,0.0894,0.261428196299,0.0615459561955,0.256862553681,14.8291,0.00227414349167,0.75,18.1552,0.903655002442,0.00225563332227,0.00230352735527,0.0437,0.00123959568346,0.00115537956705,0.90822064506,4.1208,3,0.239242429562,0.880827019056,0.894196137099,17.2133
0.086,0.00109786798987,0.00119791296484,0.205739479754,0.269384223558,0.00119252196786,4,90.2817,0.75,0.0451206303751,0.25,0.904388049104,0.0591198873617,0.0011421310346,0.0422604873906,5.7289,6,0.898527850944,0.0815,0.260588652543,0.0795477189159,0.256962867671,14.7771,0.00227906192905,0.75,18.4452,0.90317204622,0.00225467476857,0.00230501903941,0.0687,0.00124003839247,0.00115528586935,0.906797831092,4.6659,3,0.258178870556,0.897334960919,0.894061319715,24.7925
0.0818,0.00106201534057,0.00119213649931,0.206386888795,0.269747761578,0.00119565436758,4,90.3796,0.75,0.0451230810245,0.25,0.913705137523,0.0586299736583,0.00110481424943,0.0448249410877,5.6866,8,0.899554704194,0.0891,0.26069918443,0.0822112662157,0.254655053154,14.7781,0.00228536011992,0.75,18.2356,0.902460248774,0.00224785045905,0.00230086831955,0.0926,0.00123442600719,0.00115922678297,0.90850438005,4.9665,3,0.265899941902,0.904898762974,0.893770691325,31.5168
0.0806,0.00104008427132,0.00119986586292,0.203629116283,0.265144791061,0.00118193169728,4,90.1254,0.75,0.0449501441396,0.25,0.919867349332,0.0582064822907,0.00107796302578,0.044738832868,5.6754,10,0.899435301065,0.0859,0.259885621081,0.0699723436602,0.254090285185,14.7386,0.00228563927012,0.75,18.1871,0.902278472808,0.00226216176485,0.00229947535676,0.1102,0.00124039090874,0.00114313034133,0.908073808704,5.1371,3,0.271679161709,0.909943076345,0.893711630203,37.0564
0.0866,0.00101380278127,0.00119110564412,0.202068290702,0.266758399036,0.00118370509255,4,90.2441,0.75,0.044970639843,0.25,0.923093377701,0.0587580383079,0.00105102502835,0.0453509734652,5.6599,12,0.899972323031,0.0873,0.258812895414,0.0485753418058,0.253594864249,14.7577,0.00227461285855,0.75,18.1823,0.903486708066,0.00224138656373,0.00230768906993,0.119,0.00123406911069,0.00114645320449,0.908704739231,5.2487,3,0.273201533884,0.912705309536,0.894336225165,41.6505
0.0831,0.000995663865069,0.00117707639427,0.204887828433,0.267680116099,0.00118930659153,4,90.2978,0.75,0.0452398733149,0.25,0.925474489594,0.0586069413935,0.00103035118792,0.0454844860016,5.6554,14,0.898182967146,0.089,0.258359353891,0.0243473146544,0.254096619308,14.7803,0.00228082284492,0.75,18.0792,0.902981948487,0.00224762671955,0.00230267213089,0.1229,0.00122169153315,0.00114683916225,0.90724468307,5.3206,3,0.276589160415,0.91503191152,0.894189059316,45.4797
0.0859,0.000987188293021,0.00119028664205,0.204409077513,0.269000627003,0.0011932748176,4,90.4853,0.75,0.0450929049902,0.25,0.926447767348,0.0589176558795,0.00102319679003,0.0458257347463,5.6758,16,0.899447753408,0.0905,0.261404000046,0.0134199992418,0.255809897665,14.8279,0.00227903222023,0.75,18.1569,0.902953629343,0.00225485546212,0.00233034702308,0.1288,0.00123443785263,0.00115536621774,0.908547731724,5.3874,3,0.27930403567,0.915573653981,0.893833967118,47.132
0.02,0.00137935817154,0.00110109620317,0.255781405132,0.348429657838,0.00109719549869,5,126.7281,0.75,0.0464725762122,0.25,0.757486569794,0.0628937317282,0.00138140074508,0.021246608713,5.9721,0,0.885172427874,0.0221,0.252944110374,0.0,0.246504922619,16.338,0.00202941838392,0.75,22.001,0.881270929463,0.00181995850554,0.00206450556868,0.0003,0.00112912496959,0.0010697604819,0.887710117218,1.7782,3,0.122720562951,0.757413793933,0.878847887207,4.0
0.0205,0.0011370643994,0.00111186257557,0.256345967582,0.34395985782,0.00109667699356,5,126.5212,0.75,0.0469398368824,0.25,0.848830350919,0.0620531673965,0.00115317373243,0.0390602835289,5.9871,4,0.885585865483,0.0243,0.255562694397,0.0595377442085,0.247040587097,16.3076,0.00205243353219,0.75,21.855,0.879844021652,0.00206340897811,0.00209169120435,0.0059,0.00114112034763,0.0010668191078,0.888366128952,3.9586,3,0.216026916364,0.847933156543,0.877329271722,16.9291
0.0169,0.00103027721604,0.00109390212287,0.258985600655,0.34578144598,0.00108992587001,5,126.7751,0.75,0.0470166501189,0.25,0.879951166885,0.0623756099674,0.0010546915902,0.0429257502648,5.9533,8,0.88476695633,0.0214,0.252862082886,0.10832921307,0.24613503595,16.3524,0.00204682652131,0.75,21.8035,0.880505896529,0.00204405274765,0.00207996634709,0.0145,0.0011183997317,0.00106249996509,0.887232943464,4.8715,3,0.245580306306,0.878184847169,0.878451730779,32.2328
0.0198,0.000980351537687,0.00108962015245,0.256810509483,0.349343013466,0.00110178392767,5,126.5394,0.75,0.0472224257569,0.25,0.893160925432,0.0630633131197,0.00101227898326,0.0463195469217,6.0022,12,0.88397573871,0.0243,0.252903157057,0.147296444842,0.247403850242,16.3024,0.00205896073956,0.75,22.0116,0.881295821445,0.002022837947,0.00206442346566,0.0245,0.0011180653358,0.00107067571998,0.88679512826,5.3469,3,0.259268954229,0.890477627301,0.878898001882,47.0193
0.0192,0.000971882823527,0.00109049112654,0.257133859988,0.347490542712,0.00109172645683,5,126.8304,0.75,0.0471907904518,0.25,0.901026858348,0.0626668512068,0.00100018949639,0.0481783675746,6.0089,16,0.885368205228,0.023,0.254479023201,0.158746997283,0.247106216472,16.3586,0.00205389061219,0.75,21.9783,0.880631929779,0.00204771823702,0.00209318473806,0.0278,0.00111852754296,0.00106292088419,0.888004736508,5.635,3,0.267501145041,0.898196727369,0.878295197572,60.636
0.0198,0.000935722832768,0.00109495242732,0.258757648578,0.345852154481,0.00110238854228,5,126.7186,0.75,0.0471814199859,0.25,0.905841372899,0.0622957458319,0.000971618316701,0.0478156273215,6.009,20,0.88429982647,0.0222,0.254144022677,0.1362284413,0.247610930654,16.3079,0.00205958729272,0.75,22.0895,0.880335278299,0.00202054326025,0.00208244288336,0.0376,0.00112385006311,0.00107438714628,0.886868370323,5.7467,3,0.273117025254,0.902162690045,0.877918055804,71.937
0.0182,0.000921723234039,0.00109609149742,0.257476351964,0.343390245503,0.00109315692314,5,126.7513,0.75,0.0466753409704,0.25,0.908973187489,0.0621214441293,0.000954973121053,0.0483064774865,5.9959,24,0.88454325562,0.0218,0.253907581561,0.0970057709053,0.247378283698,16.3281,0.00204587689922,0.75,22.0448,0.880530914785,0.00201083189599,0.00207156400374,0.038,0.00112237643751,0.00106523188488,0.887060212648,5.8761,3,0.275820556403,0.905377533773,0.878316270915,81.794
0.0207,0.000922733135366,0.00110944789372,0.25953801199,0.348082566912,0.00109771051878,5,127.1483,0.75,0.0470791538534,0.25,0.909934449434,0.0620947544417,0.000953137796564,0.0481436040742,6.0085,28,0.885093621658,0.0249,0.254128236806,0.0486700902132,0.247372614935,16.3852,0.00202688492757,0.75,22.1736,0.881199168608,0.00199297390362,0.00206097004857,0.0365,0.00113800446062,0.00106666043756,0.887954790478,5.9422,3,0.276107895762,0.906522521468,0.878688010424,89.9644
0.0209,0.000918819423922,0.00108264607954,0.258350278183,0.349354002245,0.00109000887275,5,126.7181,0.75,0.0469586380791,0.25,0.91067961572,0.0623274699675,0.00095126145566,0.0488291605613,5.9761,32,0.885676320796,0.0237,0.253010171141,0.0125061648911,0.246798254977,16.3381,0.00205302649858,0.75,22.0879,0.882173875829,0.00199721244037,0.00208529000539,0.0395,0.0011124251735,0.00106047803768,0.888385791993,5.9553,3,0.275303994868,0.907006367225,0.879658743569,95.1483
